timestamp,open,high,low,close,volume
1789275300000,726.46,726.46,726.22,726.33,141.382
1789275600000,726.34,726.42,726.25,726.3,84.13
1789275900000,726.29,726.62,726.29,726.62,139.101
1789276200000,726.62,726.73,726.33,726.39,480.302
1789276500000,726.39,726.42,726.15,726.42,302.903
1789276800000,726.42,726.42,726.06,726.06,116.531
1789277100000,726.06,726.41,726.0,726.41,223.589
1789277400000,726.41,726.42,726.15,726.3,89.519
1789277700000,726.31,726.52,726.3,726.42,161.206
1789278000000,726.42,726.48,726.16,726.16,270.813
1789278300000,726.17,726.46,726.09,726.1,174.838
1789278600000,726.1,726.5,726.09,726.31,206.101
1789278900000,726.31,726.46,726.09,726.36,252.036
1789279200000,726.36,726.36,726.09,726.1,196.268
1789279500000,726.11,726.15,726.08,726.09,101.891
1789279800000,726.09,726.26,725.98,726.0,137.86
1789280100000,726.0,726.0,725.45,725.45,150.983
1789280400000,725.45,725.55,724.13,724.48,1228.593
1789280700000,724.48,724.5,723.99,724.09,348.403
1789281000000,724.08,724.09,723.57,723.67,403.916
1789281300000,723.67,723.88,723.26,723.48,217.443
1789281600000,723.47,723.95,723.28,723.95,811.883
1789281900000,723.94,723.95,723.26,723.27,215.309
1789282200000,723.27,723.48,722.41,722.55,290.837
1789282500000,722.55,722.55,721.54,721.98,711.412
1789282800000,721.98,722.57,721.73,722.51,170.24
1789283100000,722.51,722.96,722.28,722.88,253.951
1789283400000,722.89,722.89,722.67,722.72,157.057
1789283700000,722.72,723.31,722.61,723.2,147.078
1789284000000,723.2,723.61,723.19,723.51,144.268
1789284300000,723.51,723.51,722.82,723.0,163.279
1789284600000,723.01,723.19,722.88,723.01,219.045
1789284900000,723.01,723.04,722.61,722.73,269.762
1789285200000,722.72,723.47,722.72,723.18,370.19
1789285500000,723.17,723.17,722.7,722.79,268.258
1789285800000,722.8,722.82,722.56,722.82,266.996
1789286100000,722.81,722.82,722.1,722.23,329.527
1789286400000,722.23,722.52,722.04,722.36,617.5
1789286700000,722.35,722.55,722.19,722.39,234.46
1789287000000,722.39,722.41,721.73,722.4,376.247
1789287300000,722.41,722.41,721.11,721.22,243.067
1789287600000,721.22,721.48,721.09,721.16,133.666
1789287900000,721.17,721.36,721.01,721.05,213.467
1789288200000,721.04,721.04,719.11,719.89,2135.62
1789288500000,719.89,719.94,718.93,719.14,696.934
1789288800000,719.13,719.9,717.53,717.59,3019.408
1789289100000,717.59,718.52,717.42,718.41,1606.547
1789289400000,718.41,718.65,718.0,718.05,592.262
1789289700000,718.05,718.12,717.8,718.01,409.705
1789290000000,718.02,718.4,717.6,718.3,577.063
1789290300000,718.3,719.0,718.3,718.71,425.154
1789290600000,718.71,718.71,718.0,718.05,242.337
1789290900000,718.04,718.04,717.16,717.36,387.714
1789291200000,717.35,717.72,715.69,716.46,1097.319
1789291500000,716.46,716.67,715.17,715.19,1211.499
1789291800000,715.19,715.73,714.34,715.02,868.175
1789292100000,715.03,717.16,715.03,715.93,468.982
1789292400000,715.92,716.16,715.59,715.82,232.286
1789292700000,715.82,716.32,715.6,716.19,257.664
1789293000000,716.19,716.3,715.81,716.16,294.314
1789293300000,716.17,716.68,715.67,716.3,465.735
1789293600000,716.3,716.45,715.98,716.26,342.66
1789293900000,716.27,716.29,715.93,716.28,213.143
1789294200000,716.28,716.44,716.08,716.31,234.331
1789294500000,716.3,716.44,715.8,715.81,248.944
1789294800000,715.8,715.85,715.55,715.55,206.778
1789295100000,715.56,715.64,715.24,715.63,272.533
1789295400000,715.63,716.3,715.61,716.28,225.547
1789295700000,716.29,716.35,715.75,715.75,140.534
1789296000000,715.75,715.75,714.56,714.8,274.106
1789296300000,714.81,715.35,714.81,715.28,188.296
1789296600000,715.27,715.27,714.66,714.95,156.552
1789296900000,714.94,715.28,714.38,715.09,356.113
1789297200000,715.1,715.56,714.05,715.56,319.901
1789297500000,715.55,715.63,714.79,714.79,240.597
1789297800000,714.79,715.09,714.5,714.8,421.453
1789298100000,714.8,715.18,714.36,714.8,577.51
1789298400000,714.8,715.6,714.72,715.4,288.73
1789298700000,715.41,715.46,715.15,715.36,177.067
1789299000000,715.35,715.44,715.13,715.43,135.185
1789299300000,715.44,716.19,715.43,716.18,254.927
1789299600000,716.19,716.54,716.18,716.48,216.182
1789299900000,716.47,716.85,716.45,716.63,226.63
1789300200000,716.63,716.77,716.45,716.49,211.739
1789300500000,716.49,716.49,716.21,716.31,205.354
1789300800000,716.31,716.4,716.04,716.05,301.016
1789301100000,716.05,716.19,716.01,716.15,208.696
1789301400000,716.15,716.55,716.15,716.49,146.824
1789301700000,716.5,716.95,716.49,716.87,138.142
1789302000000,716.87,716.91,716.64,716.9,110.546
1789302300000,716.91,717.04,716.21,716.21,450.616
1789302600000,716.21,716.87,715.92,716.01,410.201
1789302900000,716.01,716.3,715.54,715.81,230.691
1789303200000,715.8,715.88,715.4,715.43,256.795
1789303500000,715.44,715.44,715.13,715.13,113.514
1789303800000,715.13,715.65,715.13,715.51,146.845
1789304100000,715.51,715.87,715.4,715.55,113.143
1789304400000,715.55,715.57,715.38,715.39,100.411
1789304700000,715.38,715.71,715.2,715.69,185.396
1789305000000,715.7,715.8,715.48,715.7,137.557
1789305300000,715.7,715.7,714.9,714.91,224.684
1789305600000,714.91,715.08,714.44,714.89,338.145
1789305900000,714.9,714.95,713.1,713.66,678.796
1789306200000,713.66,715.39,713.66,714.99,178.296
1789306500000,715.0,715.97,714.99,715.9,153.241
1789306800000,715.89,716.48,715.73,716.35,265.303
1789307100000,716.35,717.77,716.34,717.66,663.064
1789307400000,717.66,718.44,717.55,717.91,398.412
1789307700000,717.92,718.14,717.85,718.04,155.609
1789308000000,718.04,718.31,718.04,718.18,125.036
1789308300000,718.18,719.0,718.18,719.0,297.227
1789308600000,719.0,719.36,718.78,719.26,1701.809
1789308900000,719.27,720.0,719.07,719.2,347.487
1789309200000,719.19,719.53,719.12,719.22,169.497
1789309500000,719.23,719.47,718.92,719.37,221.233
1789309800000,719.36,719.6,718.99,719.2,176.963
1789310100000,719.2,720.32,719.13,719.78,240.063
1789310400000,719.78,719.83,719.36,719.51,286.843
1789310700000,719.51,719.83,719.04,719.05,246.866
1789311000000,719.04,719.05,718.58,718.61,324.086
1789311300000,718.61,718.61,718.13,718.56,178.375
1789311600000,718.56,718.76,717.45,717.46,228.433
1789311900000,717.45,717.94,717.4,717.88,163.553
1789312200000,717.88,717.88,717.55,717.68,157.719
1789312500000,717.68,717.68,717.37,717.65,176.728
1789312800000,717.65,719.25,717.64,719.16,234.674
1789313100000,719.15,719.15,717.87,718.2,326.372
1789313400000,718.19,719.24,718.11,719.2,283.385
1789313700000,719.2,719.4,718.96,718.97,279.635
1789314000000,718.97,719.66,718.66,719.51,184.915
1789314300000,719.5,719.51,718.77,719.02,126.294
1789314600000,719.03,719.13,718.59,718.98,115.519
1789314900000,718.99,719.0,718.87,718.88,87.043
1789315200000,718.89,720.12,718.88,720.12,226.456
1789315500000,720.11,720.74,719.85,720.63,347.62
1789315800000,720.62,721.41,720.33,720.86,372.417
1789316100000,720.86,720.86,720.29,720.47,283.427
1789316400000,720.48,720.74,720.4,720.64,103.083
1789316700000,720.64,721.25,720.58,720.99,203.676
1789317000000,720.99,721.32,720.63,720.63,116.205
1789317300000,720.64,720.79,720.55,720.71,65.654
1789317600000,720.71,721.22,720.63,721.21,222.569
1789317900000,721.17,721.22,720.55,720.55,132.47
1789318200000,720.55,721.36,720.55,721.16,66.897
1789318500000,721.16,721.36,721.05,721.05,110.595
1789318800000,721.06,721.83,721.05,721.68,92.576
1789319100000,721.68,721.69,721.42,721.52,95.683
1789319400000,721.52,722.15,721.25,721.39,168.698
1789319700000,721.4,721.57,720.97,721.24,152.765
1789320000000,721.24,721.4,721.0,721.01,118.067
1789320300000,721.0,721.51,721.0,721.29,120.297
1789320600000,721.28,721.29,720.84,720.85,56.335
1789320900000,720.85,721.23,720.81,721.15,98.528
1789321200000,721.15,721.15,721.02,721.03,61.315
1789321500000,721.04,721.44,721.03,721.44,50.811
1789321800000,721.44,721.6,721.11,721.12,254.762
1789322100000,721.12,721.37,720.92,721.16,94.508
1789322400000,721.17,721.32,720.88,720.9,49.299
1789322700000,720.9,721.0,720.88,720.89,72.284
1789323000000,720.89,721.3,720.88,721.21,152.588
1789323300000,721.2,721.72,720.99,721.1,109.479
1789323600000,721.1,721.19,721.03,721.09,37.829
1789323900000,721.09,721.44,720.86,721.39,285.116
1789324200000,721.39,721.89,721.1,721.27,130.126
1789324500000,721.27,721.28,721.25,721.25,40.514
1789324800000,721.26,721.74,721.0,721.25,359.488
1789325100000,721.26,721.36,721.21,721.26,69.922
1789325400000,721.27,722.34,721.26,722.14,234.787
1789325700000,722.14,722.19,721.79,722.11,97.372
1789326000000,722.11,722.81,722.11,722.76,272.12
1789326300000,722.75,723.1,721.93,721.93,198.262
1789326600000,721.94,721.94,721.4,721.41,75.979
1789326900000,721.41,721.41,721.04,721.04,58.808
1789327200000,721.05,721.13,720.8,721.12,113.794
1789327500000,721.13,721.36,721.12,721.35,53.546
1789327800000,721.35,721.55,721.14,721.25,209.674
1789328100000,721.25,721.36,721.13,721.2,169.11
1789328400000,721.2,721.4,721.1,721.4,50.701
1789328700000,721.4,721.4,721.11,721.24,59.62
1789329000000,721.24,721.24,720.88,721.2,48.287
1789329300000,721.19,721.52,720.9,721.09,281.773
1789329600000,721.09,721.68,721.08,721.4,86.109
1789329900000,721.39,721.58,721.39,721.57,119.89
1789330200000,721.58,721.68,721.35,721.54,77.192
1789330500000,721.53,722.01,721.41,721.88,157.095
1789330800000,721.89,722.07,721.79,721.89,101.849
1789331100000,721.89,722.05,721.88,722.05,157.126
1789331400000,722.06,722.46,722.06,722.36,149.598
1789331700000,722.37,722.37,721.98,722.34,140.782
1789332000000,722.34,722.61,722.34,722.6,110.622
1789332300000,722.61,722.63,722.42,722.45,70.214
1789332600000,722.46,722.53,722.35,722.53,76.324
1789332900000,722.53,722.69,722.33,722.34,100.592
1789333200000,722.34,722.34,722.12,722.13,119.568
1789333500000,722.12,722.14,721.9,722.13,146.04
1789333800000,722.13,722.52,722.13,722.29,253.005
1789334100000,722.3,722.68,722.29,722.68,135.334
1789334400000,722.67,722.84,722.64,722.65,38.091
1789334700000,722.64,722.65,722.49,722.49,59.424
1789335000000,722.49,722.6,722.3,722.44,83.57
1789335300000,722.44,722.61,722.1,722.36,108.921
1789335600000,722.35,722.49,722.19,722.44,118.05
1789335900000,722.44,722.52,722.06,722.17,49.442
1789336200000,722.17,722.38,722.01,722.38,64.22
1789336500000,722.37,722.38,722.13,722.2,23.579
1789336800000,722.19,722.19,719.51,719.9,704.601
1789337100000,719.9,720.41,717.98,718.95,1045.149
1789337400000,718.96,719.17,718.28,718.4,177.305
1789337700000,718.41,718.49,716.02,717.02,660.119
1789338000000,717.01,717.3,716.12,716.25,241.133
1789338300000,716.25,717.32,715.47,716.76,405.645
1789338600000,716.76,717.8,716.03,717.39,233.435
1789338900000,717.38,717.39,716.43,716.58,194.884
1789339200000,716.58,716.58,715.47,715.88,111.757
1789339500000,715.88,716.7,715.75,716.58,118.288
1789339800000,716.59,716.78,716.05,716.15,178.211
1789340100000,716.15,716.35,715.25,715.95,294.23
